"18838","中国船舶重工集团公司北京长城无线电厂","5020","CSIC-Beijing Great Wall Radio Factory","No.30 Xueyuan Road(s),Haidian District,Beijing,China","北京市海淀区学院南路30号","www.bgwr.com.cn","5201","电子及声学测量仪器，电控及通信设备，汽车收音机，水声工程等。","100088","bgwr@china.com","010-62253344","010-62250376"
"18932","中国船舶工业集团公司江西航海仪器厂","5020","CSSC-Jiangxi Marine Instrument Plant","P.O Box 935，Ruichang，Jiangxi，China","瑞昌市935信箱","www.jx459.com","5212","陆地导航产品，AW型转杯式和AwⅡ 0 型变频式转杯式、LU/DF型雾气雾化式、机械压力式燃烧器，锅炉水位控制器、均质机。","332215","business@jx459.com","0792-4201108","0792-4201117"
"18933","中国船舶工业集团公司江西浔阳电子仪器厂","5020","CSSC-Xunyang Electronic Instrument Factory，Jiangxi","P.O Box 937，De-an，Jiangxi，China","德安937信箱","","","压力式温度控制器，火灾报警控制器，汽车空调电磁离合器。","330409","jx458@public.jjptt.jx.cn","0792-4580008","0792-4580002"
"18934","中国船舶工业集团公司九江船用机械厂","5020","CSSC-Jiujiang Marine Machinery Plant","P.O Box 936，Ruichang，Jiangxi，China","瑞昌市936信箱","www.csscjmmp.com","5212","金属制液体储藏罐，医用高压氧舱，船用空气瓶，工业锅炉，热换设备，炼油设备，化工设备，起重机械等。","332209","business@csscjmmp.com.cn","0792-4860028","0792-4860027"
"18935","中国船舶工业集团公司九江仪表厂","5020","CSSC-Jiujiang Instrument Plan","No.1039 Shili Ave，Jiujiang，Jiangxi，China","九江市十里大道1039号","","5212","船用导航仪器仪表，智能化精密电能计量仪器仪表，普通电能计量仪表，各类精密液压控制系统及元件，各类微电机。","332007","jjyb@public.jjptt.jx.cn","0792-8252140","0792-8252140"
"18936","江西华声通信（集团）有限公司","5020","Jiangxim Huansgeng Communication （Group）Co.,Ltd","No.207ingangshan Avenue，Ji'an，Jiangxi，China","吉安市井冈山大道207号","","5212","舰船内部通信系统。","343005","","0796-8268541",""
"18937","上海申恩达船用备件有限公司","5020","Shanghai Shen enda Marine Fittings Co.,Ltd","No.333 Baoan Road,Baoshan District","宝山区宝安公路333号","","5205","船用备件制造加工，民用船舶修理。","201906","","021-56328576",""
"18938","江西新德工业泵有限责任公司","5020","Jiangxi Xinde Industry Pump Co.,Ltd","Industry Zone，Xinyu，Jiangxi，China","新余市五金工业区","","5212","船用螺杆泵。","338000","","0790-6456966","0790-6456968"
"18939","江西新余钢铁有限责任公司","5020","Jiangxi Xinyu Iron & Steel Co.,Ltd","Yejin Road，Xinyu，Jiangxi，China","新余市冶金路","www.xinsteel.com.cn","5212","船用钢板。","338001","xygtxs@public.xy.jx.cn","0790-6292925","0790-6294999"
"18940","九江华大消防设备公司","5020","Jiujiang Huada Fire Fighting Equipment Co.","Xier Road，Jiujiang，Jiangxi，China","九江市西二路","","5212","船用遥控阀系统制造、销售。","332000","","0792-8364005",""
"18941","九江海天设备制造有限公司","5020","Jiujiang Haitian Equipment Manufacture Co.,Ltd","P.O Box 936，Ruichang，Jiangxi，China","瑞昌市936信箱","","5212","船用舾装件。","332209","zls365@163.com","0792-4860258","0792-4860055"
"18942","九江远洋船舶物质配套有限公司","5020","Jiujiang Yuanyang Marine Material & Equipment Co.,","No.118 Binjiang Road，Jiujiang，Jiangxi，China","九江市滨江路118号","","5212","船舶配件。","332000","","0792-8232244",""
"18943","南昌凯马柴油机有限公司","5020","Nanchang Kaima Diesel Engine Co.,Ltd","Qinglan Road，Nanchang Economic & Technical Development Zone，Jiangxi，China","南昌市经济技术开发区青岚路","www.nckama.com","5212","2015A、X105、X110、D6110、485Q五个系列280多个品种的柴油机和发电机组。","330013","nckama888@163.com","0791-7111887","0791-6213271"
"18944","南昌市华星船舶防污设备厂","5020","Nanchang Huaxing Marine Pre-poiiution Equipment Pl","No.15 Wanfu Temple，Chaoyangzhou，Nnachang，Jiangxi，China","南昌市朝阳洲万福寺15号","","5212","水质污染设备、船舶辅机。","330009","","0791-784658",""
"18945","南昌市金锚实业公司","5020","Nanchang Jinmao Industry Co.","No.524 Chuanshan Road，Nnachang，Jiangxi，China","南昌市船山路524号","","5212","船舶配件。","330009","","0791-6622240",""
"18946","清华泰豪科技股份有限公司","","","","","","","","","","",""
"18947","清华泰豪科技股份有限公司","","","","","","","","","","",""
"18948","清华泰豪科技股份有限公司三波电机事业部","5020","Tsinghua Tellhow Science Holding Co.Ltd Sanbo Elec","4/F BlockB，Tellhow information building，Gaoxin Road，High-Tech.Development Zone，Nnachang，Jiangxi，China","南昌市高新开发区高新大道清华泰豪信息大厦B座4楼","www.tellhow.com","5209","5-500KW陆用、船用发电机、轴带发电机及发电机组。","330096","tsinghua@tellhow.com","0791-8105588","0791-8106688"
"18949","东山县渔业第三公司机修厂","5020","Machinery Repair Plant of Dongshan County No.37 Fi","No.757 Qiaoya Street，Tongling Town，Dongshan County，Fujian，China","东山县铜陵镇桥雅街757号","","5204","机修。","363401","","0596-5620672",""
"18950","上海申克试验机有限公司","5020","Schenck Shanghai Machinery Corp.Ltd ","No.735,Liyang Road ","溧阳路735号","www.schenck-sh.com","5205","生产平衡机、试验机。","200080","","021-63246355","021-63240519"
"18951","福建省船舶制冷联合工业公司","5020","Fujian Shipping Refrigeration Unite Industry Co.","No.102 Guohuo Road（E），Fuzhou，Fujian，China","福州市国货东路102号","","5204","船舶冷库和速冻厂建设，管道安装，承包船舶建造和技术服务。","350009","","0591-83616584",""
"18952","福建省德鑫机械有限公司","5020","Fujian Dexin Marine Machinery Co.,Ltd，Longhai","Dongyuan Industrial Area，Longhai，Fujian，China","龙海市东园工业区","www.dexin.com","5204","船舶机械、阀门泵体、机械配件，不锈钢阀板、铜阀板及阀门铜配件。","363102","dexinn@public.zzptt.fj.cn","0596-6566569","0596-6567568"
"18953","福建省福州军海兰舰橡胶制造有限公司","5020","Fujian Fuzhou Junhailanjian Rubber Produce Co.,Ltd","No.1 Xiyuan Industrial Park，Fuzhou Railway Station，Ji'an District，Fuzhou，Fujian，China","福州市晋安区福州火车站西园工业区一号","","5204","各类船用橡胶制品及护舷。","350013","","0591-83103016","0591-87904855"
"18954","福建省海洋渔业总公司渔需物质公司","5020","Fishery Material Co.of Fujian Provicial Marine Fis","No.1 Yugang Road，TEDA.，Fuzhou，Fujian，China","福州市经济技术开发区渔港路1号","","5204","船用辅助机、石油制品、钢丝网具、冷藏船沿海远洋运输。","350015","","0591-83983329",""
"18955","福州常兴制冷设备有限公司","5020","Fuzhou Changxing Freezing Equipment Co.,ltd","Guangqiao，Gaishan Town，Cangshan District，Fuzhou，Fujian，China","福州市仓山区盖山镇光桥","","5204","生产船、陆用各种规格的液压升降式、隔架吹风式速冻铝合金平板机；各种规格的船、陆用制冷辅助设备及各种规格不锈钢聚氨酯冷库板和组合式冷库。","350026","","0591-83448154","0591-83448154"
"18956","福州阀门总厂","5020","Fuzhou Valve General Factory ","No.364 Longgan Road，Fuxin Road（E），Fuzhou，Fujian，China","福州市福新东路龙安路364号","","5204","船用阀门。","350000","fzvalve@publ.fz.fj.cn","0591-83621140","0591-83635091"
"18957","福州宏升达机电设备有限公司","5020","Fuzhou Hongshengda Electronic & Mechanical Equipme","No.38 Huagong Road，Jinan District，Fuzhou，Fujian，China","福州市晋安区化工路38号","www.5024027.my.sme.cn","5204","焊接、切割设备，焊接材料，工业气体。","350003","","0591-87721113","0591-87728945"
"18958","福州友康船舶配件有限公司","5020","Fuzhou  Youkang Marine Accessories Co.,ltd","Rm.15-18，No.218 Paiwei Road，Taijiang District，Fujian，China","福州市台江区排尾路218号15-18室","www.youkang.com","5204","转变各类水泵，交直电机及电器，8300及6300进口等柴油机配件，船用各种灯具及灯泡，锚具锚链、缆绳、救生、消防、通讯导航、助渔器材、钢丝绳，起重滑件，金属温度计、压力表，卸扣索具等系列船用配件。","350009","yk@youkang.com","0591-83289868","0591-83289288"
"18959","龙海市锦江船舶机械开发有限公司","5020","Longhai Jinjiang Marine Machinery Co.,Ltd","No.149-3 Xinhua Road，Shima Town，Longhai，Fujian，China","龙海市石马镇新华路149-3号","","5204","船舶机械、动力装置。","363100","","05916-6560108","0596-65288039"
"18960","美威凯（厦门）金属制品有限公司","5020","Meriweikai（Xiamen) Marine Co.,Ltd","6/F Qiaolian Industrial Building，No.191 Longshan Road（S），Xiamen，Fujian，China","大门市龙山工业区龙山南路191号侨联工业大厦六楼","","5204","不锈钢，铜和ASA,ABS颜料舷窗以及船用五金系列产品。","360000","","0592-5556307","0592-5556309"
"18961","北京合众思壮科技有限责任公司","5020","Beijing Unistrong Science &Technology Co.,Ltd","6/F Block A2 Electron City, No.9 Jiuxian Bridge Road(E),Chaoyang District,Beijing, China ","北京市朝阳区酒仙桥东路9号电子城A2座东6层","www.unistrong.com","5213","研发、生产、销售船用GPS及VHF系统。","100016","UniStrong@UniStrong.com","010-5827 5000","010-5827 5100"
"18962","上海申特机械制造有限公司","5020","Shanghai Shente Machinery Manufacturing Co.,Ltd","Lingang industial area","临港产业园区","www.sh-shente.com","5205","船用防火窗、普通窗、门、货吊、液压法兰等舾装产品。","201309","shente@sh-shente.com","021-58250140","021-58251540"
"18963","泉州市新协特种涂料有限公司","5020","Quanzhou Xinxiezhi Special Coatings Co.,Ltd","E/T Development Zone，Quanzhou，Fujian，China","泉州市经济技术开发区","www.28000000.com","5204","船用涂料。","362005","280@28000000.com","0595-22876666","0595-22359805"
"18964","厦门大立自动化通导服务有限公司","5020","Xiamen Dali Automatic & Communication Navigation C","Rm.1005，No.2 Guxingli，Qianpu，Xiamen，Fujian，China","厦门市前埔古兴里2号1005室","www.xmshipauto.com","5204","船舶自动化通导设备检修及设备安装、管理、技术咨询服务。","361009","xmauto@public.xm.fj.cn","0592-5913628","0592-5929496"
"18965","厦门飞鹏工业有限公司","5020","Xiamen Feipeng Industry Co.,Ltd","No.1-5 Industry Zone，New Village，Houxi Town，Jimei District，Xiamen，Fujian，China","厦门市集美区后溪镇新村1-5号工业区","www.xmfeipeng.com","5204","生产冲锋艇、皮划艇、救生衣、潜水服、救生筏等近百种产品。","361024","","0592-6260792","0592-6268595"
"18966","厦门双瑞船舶涂料有限公司","5020","Xiamen Sunrui Marine Coating Co.,Ltd","3/F Jinxing Mansion，No.208 Qixing Road，Xiamen，Fujian，China","厦门市七星路208号金星大厦3楼","www.xmsunrui.com","5204","专业从事船舶涂料及海洋工程防腐设计、生产和服务。","361012","725xmyx@163.com","0592-5331830","0592-5128113"
"18967","厦门欣翔航运电子有限公司","5020","Xiamen Sunshine Marine Electronics Co.,Ltd","7/F Haiming Building，No.50 Tongyi Road，Huli District，Xiamen，Fujian，China","厦门市湖里区同益路50号海明大厦七楼","www.sunshine-marine.com","5204","专营船用通讯导航、GMDSS系统设备、安全救生设备，并提供技术服务、工程施工，为各类商船、工作船、巡逻艇、高速船、远洋渔船、游艇等提供全船配套方案。","361012","sales@sunshine-marine.com","0592-2619898","0592-2619900"
"18968","亚薪皮纺织品（厦门）有限公司","5020","Asindo Textile Goods（Xiamen）Network，Co.,Ltd","No.12 Jinbei Industrial Area，Huli District，Xiamen，Fujian，China","厦门市湖里区后坊前社金北工业园12号厂房","","5204","主要产品为游艇罩及其工具袋、船罩、游艇配件水上工具袋。","361093","erquest@asindo.com.cn","0592-5503093","0592-5257993"
"18969","中国船舶重工集团公司河南柴油机集团有限责任公司","5020","CSIC-Henan Diesel Engine Group Co.,ltd","No.173 Zhongzhou Road（W），Luoyang，Henan，China","洛阳市中州西路173号","www.hnd.com.cn","5211","轻12-180系列型柴油机（M419，M470),234/616、604B/620系列柴油机及船用、陆用发电机组，摩托车，IE47FM、152MI、170FMM汽油机等。","471039","info@hnd.com.cn","0379-64076001","0379-64225359"
"18970","安阳钢铁集团","5020","Anyang Iron & steel Group Co.,ltd","Yindu District，Anyang，Henan，China","安阳市殷都区","www.angang.com.cn","5211","船用钢板。","455004","agjt@angang.com.cn","0372-3120114","0372-3120114"
"18971","安阳凯立机床电器船舶自动化有限责任公司","5020","AnMarine Automation Branch of Anyang Machine Tool ","No.11 Donggong Road，Anyang，Henan，China","安阳市东工路11号","www.klship.cn","5208","CQDY型船用主机遥控装置、驾驶台，监控台，机械软轴遥控装置具主配电板等。","455000","ayklgs@126.com","0372-2962856","0372-2531234"
"18972","河南光彩船舶电器有限公司","5020","Henan Guangcai Electric Co.,ltd","Sanqiang Industrical Park，Anyang，Henan，China","安阳市三枪工业园","www.aygcship.com","5211","船用主机遥控装置，加强台集控台、机舱集控台、灯光传令钟、各种船用电力控制箱柜，主配电板，充放电板，各种启动器，岸电箱，充电器，变压器。","455000","anyanggcdq@163.com","0372-3159500","0372-3159506"
"18973","上海申馨铜管件有限公司","5020","Shanghai Shenxin Copper Pipe Fittings Co.,Ltd","Lingang Development Area,Zhuqiao Town,Nanhui District","南汇区祝桥镇临港开发区","","5205","船用铜管件。","201323","","021-58102626","021-58108168"
"18974","河南省佳美实业发展有限公司","5020","Jiamei Castiong Co.,ltd","Yanshi，Luoyang，Henan，China","洛阳市偃师","","5211","专业生产薄壁型交叉带水套铸铁件。","471000","","0379-67553808","0379-67551478"
"18975","舞阳钢铁有限责任公司","5020","Wuyang Steel and Iron Co.,ltd","Hubin Ave.（W），Wugang，Henan，China","舞钢市湖滨大道西段","www.wygt.cn","5211","生产9大系列、140个牌号、100多个厚度规格的钢板。各种船用钢板已通过中国、挪威、英国、美国、法国、德国等国际著名船级社认可。","462500","wygt@vip.wygt.cn","0375-8111734","0375-8111039"
"18976","郑州大方桥梁机械有限公司","5020","Zhengzhou Dafang Bridge-Machine Co.,ltd","P.O Box 10201，Zhengzhou，Henan，China","郑州市10201信箱","www.zz-df.com.cn","5215","船厂用平板运输车、起重机等。","450005","zzh@mail.zzdf.cn","0371-68981893","0371-68883328"
